	environmental information processing	human diseases	metabolism 	genetic information processing	cellular processes	organismal systems	metabolism
DLF001	0.07717016497468945	0.0027146519297575867	0.0013970419269257422	0.12542691682166282	0.013304353385089897	0.0009552264670292825	0.7790316444948452
DLF002	0.09339718454613666	0.004075684684987507	0.0010724554489015604	0.13146750382759181	0.02462730226058955	0.0009174653886211254	0.7444424038431717
DLF003	0.08284335486135531	0.0038403299598448047	0.0011284484007144369	0.16138591863137397	0.023154142688453977	0.0009291796148057005	0.7267186258434519
DLF004	0.07960007292697144	0.0039896607954623	0.0011880043771571919	0.13526974107318743	0.023069569884823452	0.0016293102308041984	0.7552536407115941
DLF005	0.08996918596909337	0.003788662250438645	0.0007681429565659223	0.1561798117204241	0.02257015641580246	0.000435363172357252	0.7262886775153182
DLF006	0.09708891004123846	0.004044185085123965	0.0009713219735150293	0.14352346720371054	0.019450549188995237	0.0008809661467453313	0.7340406003606714
DLF007	0.08875907301400672	0.003457878682972865	0.0011680975494039133	0.12238611062834771	0.02022005721012545	0.00097129785464921	0.7630374850604941
DLF008	0.09696805055665852	0.003799996459397458	0.0015049581488090333	0.10717428175965188	0.019588541433296542	0.0008570171111328098	0.7701071545310537
DLF009	0.1207561542214525	0.006554576661866652	0.0008651266213914787	0.12717797409360845	0.022868401286671634	0.0014795108345631335	0.7202982562804461
DLF010	0.09648594685038538	0.004541324737480756	0.0009862151917381455	0.16468167252090213	0.022394653007446426	0.0009342262825010996	0.709975961409546
DLF012	0.13515060875715984	0.0032826802526339143	0.001478515116176045	0.12279762055833197	0.01974943776760449	0.001292588882073002	0.7162485486660207
DLF013	0.08609012099487706	0.0033665540253717246	0.0009804142331962865	0.1383774341346389	0.015253549100036535	0.001227111515072322	0.7547048159968073
DLF014	0.1014690622955826	0.0037970933656408076	0.0009367129599722619	0.13724521135761925	0.015940203840982877	0.0009223447530772059	0.7396893714271251
DLM001	0.07609842941539853	0.003969475555422727	0.00075066277700328	0.13421099594454766	0.015819933835479805	0.0010190213806708166	0.7681314810914772
DLM002	0.09314242049802107	0.00377622917880174	0.0008935019565359124	0.14312881033616584	0.02541153814443449	0.0009696630672897784	0.7326778368187511
DLM003	0.0743989160684839	0.003460296088116017	0.0011058009172189359	0.1938067220309463	0.01916904971439992	0.0008669997761301954	0.7071922154047048
DLM004	0.07683880508688654	0.0038348682716758697	0.0014805469605613279	0.12199928963835564	0.013738627141951522	0.0009402522206810861	0.7811676106798879
DLM005	0.09136387009506257	0.004007674257956512	0.0010106071338929934	0.14559622305130715	0.018336234956419183	0.000984082566162755	0.7387013079391989
DLM006	0.08723886515707514	0.004022864372710531	0.0014098712896777417	0.14678187742971868	0.02949914186771045	0.0011186267308732393	0.7299287531522343
