	nucleotide metabolism	metabolism of terpenoids and polyketides	glycan biosynthesis and metabolism	metabolism of other secondary metabolites	biosynthesis of other secondary metabolites	lipid metabolism	energy metabolism	metabolism of other amino acids	metabolism of cofactors and vitamins	xenobiotics biodegradation and metabolism	amino acid metabolism	carbohydrate metabolism
DLF001	0.03659023335750012	0.028906813523352438	0.07077191792891317	0.0	0.06737564340253592	0.040882651469181644	0.10648033099072167	0.029994680448071024	0.0897964748965608	0.0690760153277889	0.15320785801811845	0.3069173806372559
DLF002	0.0406820255623493	0.0279401665437483	0.05174593041442194	2.9982722636529028e-06	0.06745277078873797	0.04265161828335084	0.11874579879604526	0.032470996349954304	0.09153343097994601	0.07065688878405436	0.17246867104638314	0.2836487041787449
DLF003	0.04961165855210268	0.029154333793155726	0.044455798710020346	1.06957524725085e-06	0.07694098744587613	0.04294264094459317	0.1243857277689496	0.031469985262329796	0.09289084763035688	0.06230395600376682	0.17424788167435692	0.27159511263924463
DLF004	0.043123397967033385	0.028777757164508085	0.053396230975655296	4.37265757155442e-07	0.07316600213531703	0.040164927084012085	0.12232777914126321	0.03462409419334338	0.09206177101627395	0.05637758821367696	0.17301100817667342	0.28296900666648583
DLF005	0.04537495681505076	0.02728890218611727	0.047848771978409754	8.796555515054163e-07	0.07337258140002939	0.04538684370316713	0.12247470525319377	0.030510200285404295	0.09068425848380425	0.0645931540396556	0.1712718480936059	0.2811928981060105
DLF006	0.042821259409088805	0.029230101530762817	0.045045463677206646	3.6948691007865803e-06	0.06764803716727794	0.044831927872106894	0.1243254856008327	0.032265969115734344	0.09623295354149487	0.07419899547563524	0.17540457327677383	0.26799153846398516
DLF007	0.034418234973429315	0.03187774078010712	0.06693689382586633	0.0	0.0676241319771563	0.04217893031792534	0.11058137614329502	0.030914967386291913	0.09195072698495024	0.07261199686778029	0.1619320372122253	0.28897296353097274
DLF008	0.03192966430561216	0.028345689929511395	0.06482468864886365	0.0	0.06431340073994778	0.042251741189603585	0.11261015037706731	0.03411849056999806	0.08596589014665014	0.07724780598685703	0.1581646832728323	0.30022779483305667
DLF009	0.03998350631461198	0.026025203797297208	0.045577340008206645	5.764214932651134e-07	0.06795134700194842	0.04595886513979083	0.12486178056898393	0.03818380465052283	0.08864497083093915	0.0767782653287864	0.16387820396682234	0.282156135970597
DLF010	0.04970326476188738	0.02585994383080084	0.043055520168712384	1.5046121490312791e-06	0.0730927811597828	0.045920008024306874	0.12238943733113186	0.03245407340712898	0.08636734566227668	0.07334981988139366	0.17530535502608216	0.27250094613434717
DLF012	0.040857209380286336	0.023827112212041975	0.03321014786910105	9.092880640198492e-06	0.06835942901090981	0.04612005301682753	0.12664347882910026	0.03421113876551009	0.08829887312435274	0.0722294675354983	0.18187483217606656	0.28435916519966514
DLF013	0.04037572018654982	0.02679853817045031	0.05246865524798372	4.399661672449232e-06	0.07106726842745259	0.04127685646588118	0.12473988543750122	0.03190049822076349	0.08950064128750924	0.06602815893559037	0.17699064399331377	0.27884873396533183
DLF014	0.04279203290513866	0.023505605909467948	0.03627039493359812	9.628330389981495e-07	0.07690480429631465	0.04408696986085901	0.10877792712387797	0.03349612187216495	0.09090782191354342	0.06735594370946599	0.19255749121785132	0.2833439234246789
DLM001	0.0428105049236431	0.026581711799940358	0.055724951957859224	1.6396050216720527e-06	0.07126282585548531	0.03895080742114831	0.12579932123998253	0.03333075573602228	0.09200069864111442	0.06319055572718069	0.17510471055710894	0.2752415165354932
DLM002	0.04438524777061672	0.02769625293093167	0.045873231789945026	9.159904800603558e-07	0.07154753252167666	0.043314528385404644	0.1187864930609047	0.03159148815903959	0.0931089018015898	0.06512020832823355	0.17530572796169214	0.2832694712994855
DLM003	0.07265698251212063	0.024895173824489577	0.05010309110976555	1.282358382186754e-06	0.09780944196081595	0.03637385661698873	0.11066242318556382	0.028552287267598	0.10971731693322084	0.06054040914307696	0.15605733020347445	0.2526304048845033
DLM004	0.035588710047749925	0.026286622960529207	0.07237301797923724	0.0	0.06564437966189261	0.03623608843101815	0.1193579364585786	0.02989464076953461	0.09324801709335045	0.06373498054998308	0.1636450381283403	0.29399056791978584
DLM005	0.04268220419117568	0.02774904879627846	0.04679034310752129	5.58665478822651e-07	0.07060371174406113	0.04255817152273112	0.12270730723902933	0.031324651600619216	0.09448823291485102	0.0693251805598316	0.1784824562794418	0.27328813337898067
DLM006	0.04584434079429553	0.029083643793805618	0.04684692601929554	2.402231077619241e-06	0.07265485583844432	0.04109516078637626	0.12478111303687647	0.030773598835138385	0.09734778065514059	0.06373646338214582	0.1776019603571891	0.2702317542702148
DLM007	0.0413470962946143	0.026794566827796077	0.0558404914554507	2.106241074773588e-06	0.06941146886923144	0.03924378900530846	0.12190110072470979	0.030419296316223636	0.09127526030674013	0.06992092370450777	0.17069712141114532	0.28314677884319756
DLM008	0.043866319157406776	0.027402985311892353	0.04246539311716481	6.307750445202728e-06	0.06943657396114909	0.04290733548902198	0.1221866376282456	0.0312426803713805	0.0902957803428017	0.0696985028059568	0.17912740248587405	0.28136408157866116
DLM009	0.04091121206217708	0.03196011496104029	0.02897995051537141	0.0	0.07471280369959958	0.05246132637314364	0.12071396610127481	0.03172164231902534	0.08901468072941429	0.08263108548541959	0.1870411341117581	0.25985208364177587
DLM010	0.03636981437342671	0.028860292331634924	0.0458646615959593	2.16811436175301e-06	0.06465727647670384	0.04313323844514864	0.11545683247173504	0.03216284804179619	0.09283203272368552	0.08974447377461488	0.1662266702226666	0.2846896914282666
DLM011	0.037943889386334514	0.027440739553821546	0.05695856391227526	1.4481102566625736e-06	0.06752613749047674	0.03716118050893586	0.12313922457002793	0.031198571744382002	0.09854869483110455	0.06466094381313682	0.16845480032863303	0.286965805750615
DLM012	0.04786628252178413	0.02343420393590299	0.03824616554657047	8.028533191519164e-06	0.08002268689258238	0.04411085130152368	0.1054907234333451	0.03624794004117781	0.085218786894387	0.06660606099296515	0.1900580389495862	0.2826902309569835
DLM013	0.04345565057367257	0.02426749690357392	0.04692099801716249	1.019797928816485e-06	0.0679058189327574	0.04521263125027544	0.12136950311691269	0.032916280854341146	0.08932596967372018	0.07000876667354437	0.17834515662477574	0.28027070758133527
DLM014	0.04078258594972759	0.028770369286568207	0.05775434457938924	1.839917112536072e-06	0.0686669812967093	0.04004217762824882	0.1242278191959632	0.03106170312033721	0.09438534419737259	0.06808167052082582	0.17084206232368127	0.27538310198406435
DLM015	0.03864794560442638	0.0285317547107228	0.05415450346182509	2.2844712392722528e-06	0.0651521286441349	0.0403995018148816	0.11761034796339628	0.03252442769073922	0.09241607330258107	0.0711344427011412	0.1708846812813277	0.2885419083535844
DLM016	0.039963536124126564	0.02604424917658577	0.049164975441179266	6.2195089594257835e-06	0.06749310736599473	0.03964124827053489	0.12731284100617865	0.03319895806098318	0.09355795957638702	0.06787671000280113	0.17262340154502512	0.2831167939212442
DLM017	0.04391067485497747	0.029114018324539363	0.05191108887933829	1.7382001368089993e-06	0.07178023122999237	0.03955588757805921	0.12094899099127435	0.03321348177375729	0.09355901410115743	0.06111350239579544	0.17137091606887223	0.2835204556020997
DLM018	0.044431406335155806	0.026013668425808118	0.04264557007108019	8.110698178117199e-07	0.07528819606821469	0.041715046256571624	0.12380596970231068	0.03250303489364637	0.09480125683349254	0.06179615218495177	0.18305894124305674	0.2739399469158935
DLM019	0.048374043177432095	0.025718915691679767	0.04145903933478261	1.4900277343551393e-06	0.07377201885390214	0.0466498697681572	0.12944027223343782	0.03137254394022979	0.0853651575287474	0.0733492957123973	0.17644629895669486	0.26805105477480473
DLM020	0.03468062831461132	0.027415047326155885	0.0661901254904911	0.0	0.06514675003982731	0.03874702717933979	0.11462554915696978	0.03277478275354111	0.0912721000118403	0.06512190483574921	0.16782241369626422	0.29620367119521
DLM021	0.03978316145113589	0.025878370584558927	0.050295189817049744	1.0365220941686223e-06	0.0672995059821205	0.03848735620626793	0.12470597366472595	0.032514222865915696	0.09575729932235	0.0634991767264209	0.17494027491350297	0.2868384319438574
